Movement,Model,Anatomic_Distances,Rep,Left_Peak_frame,Left_Peak_time_s,Left_Peak_deg,Left_Valley_frame,Left_Valley_time_s,Left_Valley_deg,Left_ROM_deg,Right_Peak_frame,Right_Peak_time_s,Right_Peak_deg,Right_Valley_frame,Right_Valley_time_s,Right_Valley_deg,Right_ROM_deg
Shoulder Abd/Add,Complete,Perfect,4,2653,26.53,172.4,2919,29.19,-12.2,184.6,2448.0,24.48,167.74,2701.0,27.01,-5.39,173.13
Shoulder Abd/Add,Complete,Perfect,5,3137,31.37,170.69,3407,34.07,-15.06,185.75,2915.0,29.15,165.84,3192.0,31.92,-3.72,169.55
Shoulder Abd/Add,Complete,Perfect,6,3628,36.28,173.12,3894,38.94,-13.94,187.06,3398.0,33.98,163.21,3682.0,36.82,-5.02,168.23
Shoulder Abd/Add,Complete,Perfect,7,4105,41.05,171.99,4363,43.63,-11.63,183.62,3885.0,38.85,164.38,4191.0,41.91,-1.98,166.36
Shoulder Abd/Add,C7,IJ_C7,1,1007,10.07,177.72,1344,13.44,-8.49,186.21,936.0,9.36,171.66,1244.0,12.44,-10.43,182.09
Shoulder Abd/Add,C7,IJ_C7,2,1608,16.08,177.83,1931,19.31,-7.7,185.53,1466.0,14.66,169.87,1744.0,17.44,0.71,169.16
Shoulder Abd/Add,C7,IJ_C7,3,2172,21.72,175.35,2455,24.55,-12.97,188.31,1949.0,19.49,170.72,2240.0,22.4,-6.71,177.43
Shoulder Abd/Add,C7,IJ_C7,4,2654,26.54,177.25,2916,29.16,-12.41,189.66,2448.0,24.48,172.19,2701.0,27.01,-8.57,180.76
Shoulder Abd/Add,C7,IJ_C7,5,3138,31.38,176.53,3407,34.07,-15.26,191.79,2915.0,29.15,168.56,3195.0,31.95,-6.82,175.38
Shoulder Abd/Add,C7,IJ_C7,6,3628,36.28,178.99,3893,38.93,-14.42,193.41,3398.0,33.98,167.47,3682.0,36.82,-8.1,175.57
Shoulder Abd/Add,C7,IJ_C7,7,4103,41.03,177.3,4356,43.56,-10.89,188.19,3885.0,38.85,167.6,4191.0,41.91,-4.7,172.3
Shoulder Abd/Add,C7,PX_C7,1,1007,10.07,177.74,1344,13.44,-8.54,186.29,936.0,9.36,171.74,1244.0,12.44,-10.5,182.24
Shoulder Abd/Add,C7,PX_C7,2,1608,16.08,177.86,1931,19.31,-7.74,185.6,1466.0,14.66,169.97,1744.0,17.44,0.71,169.26
Shoulder Abd/Add,C7,PX_C7,3,2172,21.72,175.41,2455,24.55,-13.06,188.46,1949.0,19.49,170.82,2240.0,22.4,-6.74,177.56
Shoulder Abd/Add,C7,PX_C7,4,2654,26.54,177.28,2916,29.16,-12.48,189.77,2448.0,24.48,172.27,2701.0,27.01,-8.63,180.9
Shoulder Abd/Add,C7,PX_C7,5,3138,31.38,176.57,3407,34.07,-15.35,191.92,2915.0,29.15,168.67,3195.0,31.95,-6.86,175.54
Shoulder Abd/Add,C7,PX_C7,6,3628,36.28,179.0,3893,38.93,-14.5,193.51,3398.0,33.98,167.6,3682.0,36.82,-8.15,175.75
Shoulder Abd/Add,C7,PX_C7,7,4103,41.03,177.33,4356,43.56,-10.95,188.28,3885.0,38.85,167.71,4191.0,41.91,-4.73,172.45
Shoulder Abd/Add,C7,IJ_PX_C7,1,1007,10.07,177.73,1344,13.44,-8.52,186.25,936.0,9.36,171.7,1244.0,12.44,-10.46,182.17
Shoulder Abd/Add,C7,IJ_PX_C7,2,1608,16.08,177.85,1931,19.31,-7.72,185.57,1466.0,14.66,169.92,1744.0,17.44,0.71,169.21
Shoulder Abd/Add,C7,IJ_PX_C7,3,2172,21.72,175.38,2455,24.55,-13.01,188.39,1949.0,19.49,170.77,2240.0,22.4,-6.72,177.5
Shoulder Abd/Add,C7,IJ_PX_C7,4,2654,26.54,177.27,2916,29.16,-12.44,189.71,2448.0,24.48,172.23,2701.0,27.01,-8.6,180.83
Shoulder Abd/Add,C7,IJ_PX_C7,5,3138,31.38,176.55,3407,34.07,-15.3,191.85,2915.0,29.15,168.62,3195.0,31.95,-6.84,175.46
Shoulder Abd/Add,C7,IJ_PX_C7,6,3628,36.28,179.0,3893,38.93,-14.46,193.46,3398.0,33.98,167.54,3682.0,36.82,-8.13,175.66
Shoulder Abd/Add,C7,IJ_PX_C7,7,4103,41.03,177.31,4356,43.56,-10.92,188.23,3885.0,38.85,167.66,4191.0,41.91,-4.71,172.37
Shoulder Abd/Add,C7,Perfect,1,1007,10.07,177.78,1344,13.44,-8.64,186.42,936.0,9.36,171.87,1244.0,12.44,-10.61,182.47
Shoulder Abd/Add,C7,Perfect,2,1608,16.08,177.9,1931,19.31,-7.82,185.72,1466.0,14.66,170.12,1744.0,17.44,0.72,169.4
Shoulder Abd/Add,C7,Perfect,3,2172,21.72,175.49,2455,24.55,-13.22,188.71,1949.0,19.49,170.95,2240.0,22.4,-6.8,177.75
Shoulder Abd/Add,C7,Perfect,4,2654,26.54,177.33,2916,29.16,-12.61,189.94,2448.0,24.48,172.39,2701.0,27.01,-8.74,181.13
Shoulder Abd/Add,C7,Perfect,5,3138,31.38,176.63,3407,34.07,-15.52,192.14,2915.0,29.15,168.85,3195.0,31.95,-6.94,175.79
Shoulder Abd/Add,C7,Perfect,6,3628,36.28,179.02,3893,38.93,-14.64,193.67,3398.0,33.98,167.79,3682.0,36.82,-8.24,176.03
Shoulder Abd/Add,C7,Perfect,7,4103,41.03,177.38,4356,43.56,-11.05,188.43,3885.0,38.85,167.88,4191.0,41.91,-4.79,172.67
Shoulder Abd/Add,NOT_C7,IJ_C7,1,1006,10.06,172.41,1344,13.44,-8.5,180.9,938.0,9.38,170.61,1244.0,12.44,-12.27,182.88
Shoulder Abd/Add,NOT_C7,IJ_C7,2,1604,16.04,172.03,1938,19.38,-7.98,180.0,1468.0,14.68,169.36,1744.0,17.44,0.74,168.62
Shoulder Abd/Add,NOT_C7,IJ_C7,3,2172,21.72,171.05,2455,24.55,-13.27,184.32,1948.0,19.48,168.4,2243.0,22.43,-7.93,176.33
Shoulder Abd/Add,NOT_C7,IJ_C7,4,2654,26.54,171.27,2919,29.19,-12.74,184.0,2449.0,24.49,170.96,2702.0,27.02,-10.88,181.83
Shoulder Abd/Add,NOT_C7,IJ_C7,5,3135,31.35,169.67,3407,34.07,-16.24,185.91,2914.0,29.14,169.57,3192.0,31.92,-9.2,178.78
